Target Distance £º50,Step Size:2
66:(x,y) = (41.9129,15.317)
67:(x,y) = (43.7186,16.1769)
68:(x,y) = (42.1926,14.8841)
69:(x,y) = (44.017,15.7037)
70:(x,y) = (42.1181,16.3316)
71:(x,y) = (42.2817,18.3249)
72:(x,y) = (40.3085,18.6511)
73:(x,y) = (40.779,20.595)
74:(x,y) = (42.2868,21.9089)
75:(x,y) = (43.992,20.8638)
76:(x,y) = (42.5249,19.5045)
77:(x,y) = (42.3778,21.4991)
78:(x,y) = (41.9667,23.4564)
79:(x,y) = (42.086,25.4528)
80:(x,y) = (41.3767,27.3228)
81:(x,y) = (42.4197,29.0294)
After 81 steps,the subject has the following location:
(x,y) = (42.4197,29.0294)
or
(m,a) = (51.4017,27.0061)
Average outward distance per step = 0.634589


Target Distance £º50,Step Size:2
1:(x,y) = (-1.96549,0.369932)
2:(x,y) = (-0.159791,1.22984)
3:(x,y) = (1.1685,2.72505)
4:(x,y) = (0.977056,4.71586)
5:(x,y) = (2.65862,3.63311)
6:(x,y) = (2.87784,1.64516)
7:(x,y) = (3.33722,3.59169)
8:(x,y) = (1.90073,2.20011)
9:(x,y) = (3.9007,2.21152)
10:(x,y) = (5.6287,1.20454)
11:(x,y) = (4.79641,3.02314)
12:(x,y) = (3.15512,4.16602)
13:(x,y) = (1.74991,2.74286)
14:(x,y) = (0.0361281,3.77387)
15:(x,y) = (1.95325,4.34364)
16:(x,y) = (2.50963,6.26469)
17:(x,y) = (3.6368,4.61258)
18:(x,y) = (5.4425,5.47249)
19:(x,y) = (3.48572,5.88601)
20:(x,y) = (2.34493,7.52876)
21:(x,y) = (2.99691,5.63801)
22:(x,y) = (2.74995,7.6227)
23:(x,y) = (3.75471,9.35199)
24:(x,y) = (5.54596,8.46237)
25:(x,y) = (6.55073,10.1917)
26:(x,y) = (4.96184,11.4063)
27:(x,y) = (3.78484,13.0233)
28:(x,y) = (1.85994,13.5663)
29:(x,y) = (0.957839,11.7813)
30:(x,y) = (2.79996,12.5601)
31:(x,y) = (4.79993,12.5715)
32:(x,y) = (6.78366,12.317)
33:(x,y) = (4.87468,11.7205)
34:(x,y) = (3.78021,10.0465)
35:(x,y) = (3.79929,12.0464)
36:(x,y) = (2.23778,13.2961)
37:(x,y) = (4.05744,14.1261)
38:(x,y) = (3.86599,16.1169)
39:(x,y) = (4.20593,18.0878)
40:(x,y) = (4.18056,20.0876)
41:(x,y) = (5.90279,21.1044)
42:(x,y) = (5.94468,19.1049)
43:(x,y) = (4.76767,20.7219)
44:(x,y) = (2.82056,21.1788)
45:(x,y) = (4.30646,22.5175)
46:(x,y) = (4.02675,24.4978)
47:(x,y) = (5.00281,22.7522)
48:(x,y) = (3.49837,24.07)
49:(x,y) = (5.01364,25.3753)
50:(x,y) = (6.98411,25.0329)
51:(x,y) = (5.47966,26.3507)
52:(x,y) = (6.25615,24.5076)
53:(x,y) = (4.34717,23.9111)
54:(x,y) = (6.0694,24.9279)
55:(x,y) = (5.23711,26.7465)
56:(x,y) = (5.45633,24.7586)
57:(x,y) = (6.4611,26.4878)
58:(x,y) = (5.25755,24.8905)
59:(x,y) = (7.12845,25.5974)
60:(x,y) = (8.70023,26.8342)
61:(x,y) = (8.985,28.8138)
62:(x,y) = (9.0713,26.8156)
63:(x,y) = (9.98812,28.5931)
64:(x,y) = (11.7987,27.7435)
65:(x,y) = (11.3877,29.7008)
66:(x,y) = (13.2813,29.0572)
67:(x,y) = (14.4808,27.4568)
68:(x,y) = (15.1746,25.581)
69:(x,y) = (14.9831,27.5719)
70:(x,y) = (13.114,28.2835)
71:(x,y) = (14.9148,29.1537)
72:(x,y) = (15.948,30.8662)
73:(x,y) = (17.3175,29.4087)
74:(x,y) = (16.2985,27.6877)
75:(x,y) = (16.9923,25.8119)
76:(x,y) = (18.9301,26.307)
77:(x,y) = (17.7531,27.924)
78:(x,y) = (19.3451,29.1346)
79:(x,y) = (17.3516,28.9736)
80:(x,y) = (16.4495,27.1886)
81:(x,y) = (18.4159,27.5535)
82:(x,y) = (18.3905,29.5533)
83:(x,y) = (19.9962,28.3609)
84:(x,y) = (21.333,26.8733)
85:(x,y) = (23.3089,27.1832)
86:(x,y) = (22.3673,25.4187)
87:(x,y) = (23.0504,27.2984)
88:(x,y) = (22.06,29.0359)
89:(x,y) = (20.5852,30.3869)
90:(x,y) = (22.0181,28.9916)
91:(x,y) = (23.4351,30.4031)
92:(x,y) = (23.0241,32.3604)
93:(x,y) = (23.2648,34.3459)
94:(x,y) = (21.2742,34.5399)
95:(x,y) = (22.9558,33.4571)
96:(x,y) = (22.9532,31.4571)
97:(x,y) = (24.9237,31.1147)
98:(x,y) = (23.0019,30.5607)
99:(x,y) = (24.8216,31.3907)
100:(x,y) = (24.8851,33.3897)
101:(x,y) = (25.225,35.3606)
102:(x,y) = (27.2114,35.5937)
103:(x,y) = (25.233,35.3002)
104:(x,y) = (27.1405,34.6988)
105:(x,y) = (29.1326,34.8764)
106:(x,y) = (27.334,35.7512)
107:(x,y) = (28.8852,34.4886)
108:(x,y) = (27.7082,36.1056)
109:(x,y) = (29.5981,36.76)
110:(x,y) = (31.1699,37.9967)
111:(x,y) = (33.1609,38.1856)
After 111 steps,the subject has the following location:
(x,y) = (33.1609,38.1856)
or
(m,a) = (50.5746,38.5069)
Average outward distance per step = 0.455627


